doi,url,primary_url,title,original_title,short_title,subtitle,type,subtype,prefix,publisher,container_title,short_container_title,institution_name,created_date,posted_date,deposited_date,indexed_date,issued_date,published_online_date,published_print_date,accepted_date,approved_date,authors,authors_json,editors_json,translators_json,chairs_json,contributors_json,license_url,licenses_json,links_json,subjects,subjects_json,language,issn_json,issn_type_json,isbn_type_json,alternative_id_json,funder_json,reference_count,is_referenced_by_count,references_json,is_preprint_of,has_preprint,is_version_of,relation_json,update_type,update_policy,update_to_json,archive_json,content_domain_json,assertion_json,institution_json,group_title,member,source,score,abstract_raw
10.31219/osf.io/tb26v_v2,https://doi.org/10.31219/osf.io/tb26v_v2,https://osf.io/tb26v_v2,Statistical word segmentation and target detection tasks require different mechanisms,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-01,2025-10-01,2025-10-01,2025-10-01,2025-10-01,,,,,Meili Luo; Ran Cao; Felix Hao Wang,"[{""affiliation"": [], ""family"": ""Luo"", ""given"": ""Meili"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Cao"", ""given"": ""Ran"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0001-7143-1754"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Wang"", ""given"": ""Felix Hao"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 1]], ""date-time"": ""2025-10-01T00:00:00Z"", ""timestamp"": 1759276800000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/tb26v,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/tb26v"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Statistical learning is a powerful mechanism that can support a variety of learning tasks. Many theories have assumed a single mechanism for statistical learning across different tasks, where a unitary mechanism is supposed to explain results from various studies, even across different modalities. In this study, we studied auditory statistical learning by comparing two different experimental paradigms, target detection and word segmentation, and examined if different mechanisms are required to explain results from the two paradigms. Previous work using the word segmentation paradigm suggested that learning is better with sequences containing uniform-length words than with sequences containing mixed-length words. If the same mechanism supports the target detection task, the same results are predicted. However, while learning was successful in both Experiments 1 and 2 with the target detection paradigm, the effect was larger in the mixed condition than in the uniform condition. We further replicated the uniform condition advantage in the word segmentation paradigm in Experiment 3. Thus, we hypothesized that the target detection paradigm required a different mechanism from those in word segmentation. To understand these mechanisms, we proposed both theoretical analyses and a computational model to simulate results from the target detection paradigm. We found that a prediction mechanism, rather than clustering, could explain the data from target detection. Crucially, this mechanism can produce facilitation effects without performing segmentation. We discuss both the theoretical and empirical reasons why the target detection and word segmentation paradigm might engage different processes, and how these findings contribute to our understanding of statistical word segmentation.</p>"
10.31219/osf.io/yrxc8_v3,https://doi.org/10.31219/osf.io/yrxc8_v3,https://osf.io/yrxc8_v3,"Physiological Encoding of Social Evaluation: Modeling Eye Movements, Pupillary, and Neuronal Responses to Faces",,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-01,2025-10-01,2025-10-01,2025-10-02,2025-10-01,,,,,Mao Anqi; Runnan Cao; Sai Sun; Shuo Wang; DongWon Oh,"[{""affiliation"": [], ""family"": ""Anqi"", ""given"": ""Mao"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Cao"", ""given"": ""Runnan"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Sun"", ""given"": ""Sai"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0003-2562-0225"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Wang"", ""given"": ""Shuo"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-2105-3756"", ""affiliation"": [{""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/00hx57361"", ""id-type"": ""ROR""}], ""name"": ""Princeton University""}], ""authenticated-orcid"": true, ""family"": ""Oh"", ""given"": ""DongWon"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 1]], ""date-time"": ""2025-10-01T00:00:00Z"", ""timestamp"": 1759276800000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/yrxc8,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/yrxc8"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/yrxc8"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Face-based social evaluations are ubiquitous and consequential. These evaluations are organized along two fundamental dimensions: valence (positive versus negative intentions) and power (high versus low social influence). However, how these dimensions manifest in spontaneous physiological responses remains unclear. Across three studies (96 participants and 506 single neurons), we used data-driven modeling to identify dimension-specific physiological signatures. Positive evaluations along the valence dimension were encoded by pupillary constriction and decreased neural activity in both amygdala and hippocampus. Amygdalar suppression was feature-specific, emerging only during mouth fixations, whereas the hippocampus exhibited feature-invariant suppression across all fixations. Power evaluations were encoded by pupil dilation, prolonged eye-region fixations, and increased hippocampal activity. Furthermore, social anxiety selectively heightened the sensitivity of pupillary responses to valence but did not affect power encoding. This selective modulation confirms that these responses are driven by high-level social computations rather than reflexive reactions to low-level visual features. Our findings demonstrate how the fundamental dimensions of social evaluation are embodied across multiple physiological systems within moments of viewing a face.</p>"
10.31219/osf.io/4a86z_v3,https://doi.org/10.31219/osf.io/4a86z_v3,https://osf.io/4a86z_v3,Thinking Climate Change through the Lens of Abstractness:  a Multi-Task and Multi-Setting Investigation into Generational Differences in the Conceptualization of Ecology,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-01,2025-10-01,2025-10-01,2025-10-02,2025-10-01,,,,,Ilenia Falcinelli; Chiara Fini; Claudia Mazzuca; Guido Alessandri; Fabio Alivernini; Roberto Baiocco; Andrea Chirico; Lorenzo Filosa; Tommaso Palombi; Jessica Pistella; Simone Tavolucci; Fabio Lucidi; Anna M. Borghi,"[{""ORCID"": ""https://orcid.org/0000-0002-7692-5881"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Falcinelli"", ""given"": ""Ilenia"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Fini"", ""given"": ""Chiara"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-1568-2425"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Mazzuca"", ""given"": ""Claudia"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0003-4731-5248"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Alessandri"", ""given"": ""Guido"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-8998-9374"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Alivernini"", ""given"": ""Fabio"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-6372-3762"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Baiocco"", ""given"": ""Roberto"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0001-9955-1926"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Chirico"", ""given"": ""Andrea"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-9748-1351"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Filosa"", ""given"": ""Lorenzo"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0001-7548-3949"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Palombi"", ""given"": ""Tommaso"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-4133-0503"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Pistella"", ""given"": ""Jessica"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Tavolucci"", ""given"": ""Simone"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Lucidi"", ""given"": ""Fabio"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0001-9455-8408"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Borghi"", ""given"": ""Anna M."", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 1]], ""date-time"": ""2025-10-01T00:00:00Z"", ""timestamp"": 1759276800000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/4a86z_v1; 10.31219/osf.io/4a86z_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/4a86z_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/4a86z_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>To face ecological disasters, one of the major emergencies of modern times, fostering pro-environmental behaviors appears crucial. While research explored various behavioral drivers, few studies addressed the conceptual representation of ecological events at different ages. Our preregistered study fills this gap, examining how different generations conceptualize ecology, considering evidence suggesting a link between climate change abstractness and willingness to act pro-environmentally.Older (&amp;gt;65 yo) and younger (18-35 yo) individuals performed multiple tasks targeting conceptual processing (categorization), semantic organization (rating), and conceptual representation (feature generation) of ecological (e.g., deforestation) compared to concrete (e.g., spoon) and abstract (e.g., affirmation) concepts. In the categorization task, participants responded to critical ecological, concrete, and abstract words but refrained from responding to animal words. The rating task involved evaluating critical words on semantic aspects (e.g., Abstractness, Familiarity), and the feature generation task listing properties true for each concept. Innovatively, participants were tested in three possible settings (indoor, natural outdoor, urbanized outdoor) to test whether exposure to nature impacts categorization.Results showed that independent from the setting, ecological concepts were similar to abstract concepts, especially in semantic organization and conceptual representation, or more abstractly characterized than them, especially in conceptual processing. Age differences were minimal, but older adults, who showed more positive attitudes toward ecology and nature, characterized ecological concepts more concretely than younger adults.  Theoretically, the multifarious characterization of ecological phenomena supports the flexibility of our conceptual system and points to the necessity of overcoming the classical concrete-abstract dichotomy and studying concepts in a more “situated” manner. From a societal point of view, the age-dependent abstractness of ecological concepts might inform policies on how to improve climate change campaigns, tailoring them for different age groups.</p>"
10.31219/osf.io/w46uf_v2,https://doi.org/10.31219/osf.io/w46uf_v2,https://osf.io/w46uf_v2,Are People Willing to Trade Away Democracy for Desirable Outcomes? Experimental Evidence from Six Countries,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-01,2025-10-01,2025-10-01,2025-11-12,2025-10-01,,,,,Jonathan A. Chu; Scott Williamson; Eddy Shing Fung Yeung,"[{""ORCID"": ""https://orcid.org/0000-0003-1353-109X"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Chu"", ""given"": ""Jonathan A."", ""sequence"": ""first""}, {""ORCID"": ""https://orcid.org/0000-0003-0769-6197"", ""affiliation"": [{""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/052gg0110"", ""id-type"": ""ROR""}], ""name"": ""University of Oxford""}], ""authenticated-orcid"": true, ""family"": ""Williamson"", ""given"": ""Scott"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0003-2843-6810"", ""affiliation"": [{""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/052gg0110"", ""id-type"": ""ROR""}], ""name"": ""University of Oxford""}], ""authenticated-orcid"": true, ""family"": ""Yeung"", ""given"": ""Eddy Shing Fung"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 1]], ""date-time"": ""2025-10-01T00:00:00Z"", ""timestamp"": 1759276800000}}]",,,,,,,,,,0,1,,,,10.31219/osf.io/w46uf_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/w46uf_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>To what extent do people prioritize living in a democracy over other indicators of good governance or personal well-being? This question has become contested as democracies come under pressure worldwide. We address this gap through cross-national conjoint experiments in which survey respondents choose between hypothetical countries that differ in terms of societal-level attributes (e.g., elections, health care) and individual-level outcomes that the respondent would experience (e.g., wealth, minority status). People across Egypt, India, Italy, Japan, Thailand, and the United States consistently prioritize living in a safe country with free and fair elections over other factors, including other components of democracy like civil liberties and checks and balances. Regarding tradeoffs, many people would forfeit democratic elections to avoid living in a dangerous society but not to obtain wealth and other goods. Electoral democracy is attractive globally but can be undermined by concerns about crime and safety.</p>"
10.31219/osf.io/wdvr9_v3,https://doi.org/10.31219/osf.io/wdvr9_v3,https://osf.io/wdvr9_v3,Peer reviewers altered their recommendation based on whether they were cited or wanted to be cited. A matched study of open peer review at four journals.,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-02,2025-10-02,2025-10-02,2025-10-02,2025-10-02,,,,,Adrian Barnett,"[{""affiliation"": [], ""family"": ""Barnett"", ""given"": ""Adrian"", ""sequence"": ""first""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/wdvr9_v1; 10.31219/osf.io/wdvr9_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/wdvr9_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/wdvr9_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Peer reviewers judge the validity and quality of new research. These judgements would ideally be impartial, but some reviewers may give a more favourable review if they are cited in the article because the authors have recognised their work and because citations are a valuable academic currency. Reviewers sometimes request self-citations to their own work, which may be justified as reviewers should be relevant experts. However, some self-citation requests may be unethical, with reviewers exploiting the authors' need to publish. We examined whether citations to a reviewer and self-citations influenced their peer review. We used a matched design at four journals that use open peer review and make all article versions available. Our sample included more than 37,000 peer reviews, with 13% where the reviewer was cited in the article and 6% where the reviewer included a self-citation to their work in their review. Reviewers who were cited were more likely to approve the article, with an odds ratio of 1.61 compared with reviewers who were not cited (adjusted 99.4% CI: 1.16 to 2.23). Reviewers who suggested a self-citation were much less likely to approve the article, with an odds ratio of 0.15 compared with reviewers with no self-citations (adjusted 99.4% CI: 0.08 to 0.30). Reviewers who requested and received a citation were much more likely to approve the article compared to reviewers whose request was disregarded (odds ratio of 3.5, 95% CI: 2.0 to 6.1). Some reviewers' recommendations are dependent on whether they are cited or want to be cited. Self-citation requests can turn peer review into a transaction rather than an objective critique of the article.</p>"
10.31219/osf.io/8mqgk_v2,https://doi.org/10.31219/osf.io/8mqgk_v2,https://osf.io/8mqgk_v2,Does Instrumental Music Training Improve Chinese Word Reading? A Quasi-experimental Study,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-02,2025-10-02,2025-10-02,2025-10-02,2025-10-02,,,,,William Choi; Siu Hang Kong; Veronica Ka Wai Lai; Alfredo Bautista,"[{""ORCID"": ""https://orcid.org/0000-0001-7981-7782"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Choi"", ""given"": ""William"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Kong"", ""given"": ""Siu Hang"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Lai"", ""given"": ""Veronica Ka Wai"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Bautista"", ""given"": ""Alfredo"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/8mqgk,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/8mqgk"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>This study set out to investigate whether and how music training improved Chinese word reading in children. Adopting a quasi-experimental research design, we recruited 86 musically trained children and musically untrained children with similar family income. We tested them on Chinese word reading, phonological awareness, and tone awareness. Moreover, we assessed their cognitive abilities, specifically non-verbal intelligence, inhibitory control, and working memory, as control variables. Data analyses revealed that musically trained children outperformed musically untrained children on word reading and phonological awareness but not tone awareness. Moreover, phonological awareness predicted word reading in musically trained children, with chronological age, cognitive abilities, and tone awareness controlled. However, tone awareness did not significantly predict their word reading. This study provides initial evidence supporting the potential of music training to improve Chinese word reading. Moreover, the findings reflect a possible intervention mechanism in which music training improves Chinese word reading by enhancing phonological awareness. Theoretically, the findings may extend the Precise Auditory Timing Hypothesis to tone languages and the logographic writing system.</p>"
10.31219/osf.io/ycmtq_v3,https://doi.org/10.31219/osf.io/ycmtq_v3,https://osf.io/ycmtq_v3,Energy-Space Gravity: Toward a Unified Entropic Framework for Gravitation and Quantum Geometry,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-02,2025-10-02,2025-10-02,2025-10-03,2025-10-02,,,,,Andrew P. Whittaker,"[{""ORCID"": ""https://orcid.org/0009-0004-3584-6601"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Whittaker"", ""given"": ""Andrew P."", ""sequence"": ""first""}]",,,,,,,,,,,,,,,,0,0,,,,10.31219/osf.io/ycmtq_v1; 10.31219/osf.io/ycmtq_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/ycmtq_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/ycmtq_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>We present a reformulation of gravity in which spacetime curvature emerges from entropy gradients in a generalized energy-space manifold, eliminating the need for fundamental time. Building on thermodynamic principles, we derive entropy-corrected Einstein field equations and modified geodesic motion from a covariant variational principle. The resulting framework predicts gravitational effects as a consequence of entropy divergence, offering a unified perspective on black hole thermodynamics, cosmic acceleration, and quantum gravity. Energy-space gravity naturally explains gravitational wave dispersion, black hole horizon corrections, and deviations in the CMB power spectrum without invoking dark energy. We propose concrete experimental and observational tests—including pulsar timing anomalies, Casimir effect shifts, entropy-driven gravitational lensing, and entropy-modulated nucleosynthesis—to validate the theory. The framework integrates with loop quantum gravity and holography, suggesting a deeper entropic origin of quantum geometry. This work establishes energy-space gravity as a testable, time-free extension of General Relativity, capable of resolving longstanding tensions between gravitation, thermodynamics, and quantum theory.</p>"
10.31219/osf.io/ekj54_v2,https://doi.org/10.31219/osf.io/ekj54_v2,https://osf.io/ekj54_v2,Mitoception Via the Metabokine GDF15 and Human Health,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-02,2025-10-02,2025-10-02,2025-10-02,2025-10-02,,,,,Cynthia C. Liu; Martin Picard; Elissa Epel; Tor Wager; Lisa Feldman Barrett; Qiuhan Huang; Dan Belsky; Caroline Trumpff; Evan D Shaulson; Maxwell Wilson; Alan A. Cohen,"[{""affiliation"": [], ""family"": ""Liu"", ""given"": ""Cynthia C."", ""sequence"": ""first""}, {""ORCID"": ""https://orcid.org/0000-0003-2835-0478"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Picard"", ""given"": ""Martin"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-8004-2571"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Epel"", ""given"": ""Elissa"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Wager"", ""given"": ""Tor"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Barrett"", ""given"": ""Lisa Feldman"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Huang"", ""given"": ""Qiuhan"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Belsky"", ""given"": ""Dan"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Trumpff"", ""given"": ""Caroline"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Shaulson"", ""given"": ""Evan D"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Wilson"", ""given"": ""Maxwell"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0003-4113-3988"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Cohen"", ""given"": ""Alan A."", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/ekj54_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/ekj54_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>To survive and thrive, living organisms must monitor and regulate cell-level energy supply, demand, and transformation. They do so through a brain-directed interoceptive process we refer to as “metaboception.” Here, we describe a specific metaboceptive signaling cascade mediated by the metabokine/cytokine growth differentiation factor 15 (GDF15), which we name “mitoception.” Mitoception involves an afferent signaling arm initiated by the integrative stress response (ISR), and an efferent signaling arm that simultaneously promotes energy conservation and fuel mobilization. Afferent mitoceptive signaling is mediated by GDF15 released when cells face energy demand in excess of their energy transformation capacity, creating an “energy gap”. Efferent mitoceptive signaling arises when GDF15 receptors in the brainstem receive the signal and initiate psychological experiences including fatigue and anxiety, together with neuroendocrine stress responses. Mitoceptive outputs thus reprioritize systemic energy metabolism to promote allostasis, survival, and long-term health. The proposed GDF15-driven mitoception cascade makes predictions about modifiable processes that shape disease risk, mental health, mood, resilience, well-being, and aging.</p>"
10.31219/osf.io/yvdsc_v2,https://doi.org/10.31219/osf.io/yvdsc_v2,https://osf.io/yvdsc_v2,A Dataset on Adolescent Mental Health in Kenya,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-02,2025-10-02,2025-10-02,2025-10-03,2025-10-02,,,,,Rosine Baseke; Rachael Kilonzo; Maureen Ngesa; Purity Mwende Nthuku; Tom L Osborn,"[{""ORCID"": ""https://orcid.org/0009-0008-5592-7141"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Baseke"", ""given"": ""Rosine"", ""sequence"": ""first""}, {""ORCID"": ""https://orcid.org/0009-0002-1973-3450"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Kilonzo"", ""given"": ""Rachael"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Ngesa"", ""given"": ""Maureen"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0009-0004-1153-4398"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Nthuku"", ""given"": ""Purity Mwende"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Osborn"", ""given"": ""Tom L"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/yvdsc_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/yvdsc_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Despite the growing recognition of the mental health crisis among adolescents in low-and middle-income countries (LMICs), there remains insufficient reliable data on youth mental health challenges in Kenya and other LMICs. This dataset presents one of the most comprehensive mental health data from N=17,089 adolescents collected in 2023 across 63 public secondary schools in four counties in Kenya. Data were collected through self-report paper-based questionnaires and include depression and anxiety symptoms as well as 12 other psychosocial measures capturing adverse childhood experiences, digital stressors, family and emerging stressors, and help-seeking behaviors. Additionally, the dataset includes comprehensive socio-demographic data. The dataset addresses a significant gap in contextually representative data on adolescent mental health as well as possible protective and risk factors and provides useful insights in the experience of depression and anxiety among Kenyan adolescents.  The dataset supports psychometric validation of widely used mental health instruments in sub-Saharan African contexts and offers valuable resources for researchers, practitioners, and policymakers working on adolescent mental health interventions and policy development.</p>"
10.31219/osf.io/c6ub3_v2,https://doi.org/10.31219/osf.io/c6ub3_v2,https://osf.io/c6ub3_v2,A Unified Energy-Space Deterministic Framework,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,Andrew P. Whittaker,"[{""ORCID"": ""https://orcid.org/0009-0004-3584-6601"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Whittaker"", ""given"": ""Andrew P."", ""sequence"": ""first""}]",,,,,,,,,,,,,,,,0,0,,,,10.31219/osf.io/c6ub3_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/c6ub3_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>This paper presents a Unified Energy-Space Deterministic Framework, integrating entropy-driven attractor states across multiple domains, including quantum mechanics, biological evolution, societal dynamics, astrophysical structuring, and artificial intelligence cognition. Numerical simulations and AI-driven analyses indicate that entropy is not a measure of disorder but a structuring force that governs deterministic transitions across complex systems. I present computational evidence showing that entropy follows structured attractor pathways rather than increasing randomly, providing a theoretical basis for deterministic evolution at all scales. This challenges conventional interpretations of entropy, randomness, and stochastic processes by proposing that what appears as randomness is often structured determinism operating in an imperceptible higher-dimensional energy-space framework. The implications of this theory extend to quantum state evolution, economic forecasting, intelligence evolution constraints, and the large-scale structure of the cosmos. Finally, I propose falsifiable experiments to validate entropy-driven structuring in both quantum mechanics and thermodynamic phase transitions, paving the way for empirical verification of this framework.</p>"
