doi,url,primary_url,title,original_title,short_title,subtitle,type,subtype,prefix,publisher,container_title,short_container_title,institution_name,created_date,posted_date,deposited_date,indexed_date,issued_date,published_online_date,published_print_date,accepted_date,approved_date,authors,authors_json,editors_json,translators_json,chairs_json,contributors_json,license_url,licenses_json,links_json,subjects,subjects_json,language,issn_json,issn_type_json,isbn_type_json,alternative_id_json,funder_json,reference_count,is_referenced_by_count,references_json,is_preprint_of,has_preprint,is_version_of,relation_json,update_type,update_policy,update_to_json,archive_json,content_domain_json,assertion_json,institution_json,group_title,member,source,score,abstract_raw
10.20944/preprints202411.1062.v9,https://doi.org/10.20944/preprints202411.1062.v9,https://www.preprints.org/manuscript/202411.1062/v9,On the Method for Proving the RH Using the Alcantara-Bode Equivalence,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-02,2025-10-08,2025-10-09,2025-10-02,,,2025-10-02,,Dumitru Adam,"[{""ORCID"": ""https://orcid.org/0000-0001-7269-9111"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Adam"", ""given"": ""Dumitru"", ""sequence"": ""first""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202411.1062.v1; 10.20944/preprints202411.1062.v2; 10.20944/preprints202411.1062.v3; 10.20944/preprints202411.1062.v4; 10.20944/preprints202411.1062.v5; 10.20944/preprints202411.1062.v6; 10.20944/preprints202411.1062.v7; 10.20944/preprints202411.1062.v8,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v1"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v3"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v4"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v5"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v6"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v7"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202411.1062.v8"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Computer Science and Mathematics,1968,Crossref,0.0,"<jats:p>This is the final version of the preprint series dedicated to provide a robust functional-numerical analysis method for investigation of the injectivity of linear bounded operators on separable Hilbert spaces. The aim has been to solve the Alcantara-Bode equivalent formulation of the Riemann Hypothesis. This equivalent states that RH holds if and only if the null space of a specific integral operator on \( L^2(0,1) \) related to the Riemann Zeta function, contains only the null element or equivalently, the operator is injective. Or, such problems could be solved outside the area of the number theory. Our solution, a functional-numerical method is built on a generic result introduced (Theorem 1): a linear bounded operator on a separable Hilbert space strict positive definite on a dense set is injective. We updated and extended the results from [1] by separating the analysis of the operator restrictions from their operator approximations on finite-dimension subspaces. With the numerical analysis criteria we reduced the injectivity problem to the existence of a strict positive bound modulo the square of the mesh of the positivity parameters defined as the diagonal entries in the sparse matrices associated to the integral operator. Applying this method we were able to prove the Alcantara-Bode equivalent having as effect the proof of RH that it holds.</jats:p>"
10.20944/preprints202502.1986.v2,https://doi.org/10.20944/preprints202502.1986.v2,https://www.preprints.org/manuscript/202502.1986/v2,Increasing the Efficiency of Dyeing in Textile Industry: Innovations and Best Practices,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-03,2025-10-08,2025-10-09,2025-10-03,,,2025-10-03,,Md Rofiul Islam Rofi; Md Rafiur Rahman,"[{""ORCID"": ""https://orcid.org/0009-0006-0310-5168"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Islam Rofi"", ""given"": ""Md Rofiul"", ""sequence"": ""first""}, {""ORCID"": ""https://orcid.org/0009-0008-1702-7142"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Rahman"", ""given"": ""Md Rafiur"", ""sequence"": ""additional""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202502.1986.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202502.1986.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Engineering,1968,Crossref,0.0,"<jats:p>The textile dyeing industry is a crucial sector in global manufacturing, but it is also one of the most resource-intensive, consuming significant amounts of water, energy, and chemicals. This research paper presents an experimental evaluation of various dyeing techniques aimed at improving efficiency while minimizing environmental impact. Laboratory tests were conducted on low-liquor ratio dyeing, ultrasonic and plasma-assisted dyeing, enzymatic treatments, and digital printing. The study compares these techniques based on dye uptake, water and energy consumption, and environmental impact. The findings suggest that advanced dyeing technologies significantly reduce resource usage while maintaining fabric quality. The paper concludes by recommending sustainable practices and future directions for enhancing dyeing efficiency.</jats:p>"
10.20944/preprints202505.1821.v3,https://doi.org/10.20944/preprints202505.1821.v3,https://www.preprints.org/manuscript/202505.1821/v3,Targeting the TLK1-Nek1-Mediated Activation of YAP1 Attenuates PD-L1 and Anti-Inflammation Set for Prostate Cancer Immunoevasion,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-01,2025-10-08,2025-10-09,2025-10-01,,,2025-09-30,,Damilola Olatunde; Xiuping Yu; Omar Coronel Franco; Arrigo De Benedetti,"[{""ORCID"": ""https://orcid.org/0000-0002-8014-4594"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Olatunde"", ""given"": ""Damilola"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Yu"", ""given"": ""Xiuping"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Franco"", ""given"": ""Omar Coronel"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-4198-8647"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""De Benedetti"", ""given"": ""Arrigo"", ""sequence"": ""additional""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 1]], ""date-time"": ""2025-10-01T00:00:00Z"", ""timestamp"": 1759276800000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202505.1821.v1; 10.20944/preprints202505.1821.v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202505.1821.v1"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202505.1821.v2"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Biology and Life Sciences,1968,Crossref,0.0,"<jats:p>Our recent studies on the activation of the TLK1B&amp;gt;NEK1&amp;gt;YAP1 axis following ADT/ARSI have revealed the outlines of an innate immunity integration response that includes PD-L1 expression and alterations in cGAS-pSTING and pSTAT1/3, which drive the immunoevasion of PCa cells after prolonged treatment with ARSI and can thus contribute to CRPC progression. These observations are consistent with the general assessment that human PCa is immunologically ‘cold’ and unresponsive in the long term to ICB treatments aimed at combating mCRPC once it is established. Here, we utilized a TLK1 inhibitor (J54) and a PD-L1 monoclonal antibody to suppress tumor growth in a syngeneic PCa model (TC2 in C57/Bl6 mice), in addition to Enzalutamide (ENZ). Remarkably, the combinations of ENZ+J54 or Atez+J54 resulted in durable suppression of tumor growth, partly explained by a strong antitumor immune response. These observations were further generalized using a genetic model (TRAMPxNEK1+/- mice), in which we occasionally observed progression to genuine PRAD with age. In cases when it did progress, there was clear evidence of a strong immunoreactive response, spatially discernible with VISIUM (10XG) of PEFF prostate sections. We also defined the mechanism of YAP-dependent expression of PD-L1 using a number of common PCa cell lines, OE plasmids for YAP-wt and inactive Y407F mutant, Luc reporters containing proximal and distal regulatory elements of the PD-L1 gene, and occupancy of those same elements by YAP/TEAD by ChIP.</jats:p>"
10.20944/preprints202507.0307.v2,https://doi.org/10.20944/preprints202507.0307.v2,https://www.preprints.org/manuscript/202507.0307/v2,From Accelerometer Data to Activity Patterns in Chronic Pain: Methodical Reasoning is Key,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-02,2025-10-08,2025-10-09,2025-10-02,,,2025-10-01,,Annet Doomen; Ivan Huijnen; Harriet Wittink; Tale Evenhuis; Martine Verwoerd; Rob Smeets,"[{""affiliation"": [], ""family"": ""Doomen"", ""given"": ""Annet"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Huijnen"", ""given"": ""Ivan"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0001-5592-2879"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Wittink"", ""given"": ""Harriet"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Evenhuis"", ""given"": ""Tale"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Verwoerd"", ""given"": ""Martine"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-9503-366X"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Smeets"", ""given"": ""Rob"", ""sequence"": ""additional""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202507.0307.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202507.0307.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Public Health and Healthcare,1968,Crossref,0.0,"<jats:p>Activity pattern (AP) concepts are widely used in interdisciplinary chronic pain (CP) care. It is assumed that AP can be objectively measured with accelerometry, but previous results show inconsistencies which may be attributed to methodical choices. This scoping review aims to provide insight in the process of methodical reasoning for measuring AP concepts within CP and the implications for the validity of the methods presented. This process comprises (1) selection of the AP-related concept, (2) its definition or specification (conceptualization), (3) its operationalization with variables and indicators, and (4) measurement properties and data processing. Five databases were searched for full-text publications from inception to November 2024 and publications were included when AP were measured with tri-axial accelerometers for at least five consecutive days in adults with primary musculoskeletal CP. The searches yielded 11648 papers. Fifteen papers were included and summarized in three tables: 1. Study characteristics, 2. Concepts, definitions and operationalization, 3. Measurement properties and data processing. Concepts were diverse and could be divided into behavioral concepts and concepts derived from physics. Methods were heterogeneous, reporting of methods was incomplete and validity was doubtful in multiple cases. This review provides recommendations for future research steps that could facilitate the comparison of upcoming studies and their application in daily practice. As a first step in securing comparability and usability of future research, consensus is needed on clinically relevant and valid AP concepts and their definitions, followed by consensus on operationalization, data processing, and measurement methods. </jats:p>"
10.20944/preprints202507.0707.v2,https://doi.org/10.20944/preprints202507.0707.v2,https://www.preprints.org/manuscript/202507.0707/v2,"Implementation of Pulsed Electric Field in Virgin Olive Oil Production: Impact on Oil Yield, Quality and Volatile Profile",,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-03,2025-10-08,2025-10-09,2025-10-03,,,2025-10-02,,Klara Kraljić; Katarina Filipan; Sandra Balbino; Marko Obranović; Tomislava Vukušić Pavičić; Maja Jukić Špika; Mia Ivanov; Višnja Stulić; Zoran Herceg; Igor Stuparević; Mia Tokić; Marko Belavić; Dubravka Škevin,"[{""affiliation"": [], ""family"": ""Kraljić"", ""given"": ""Klara"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Filipan"", ""given"": ""Katarina"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Balbino"", ""given"": ""Sandra"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Obranović"", ""given"": ""Marko"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Vukušić Pavičić"", ""given"": ""Tomislava"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Jukić Špika"", ""given"": ""Maja"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Ivanov"", ""given"": ""Mia"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Stulić"", ""given"": ""Višnja"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Herceg"", ""given"": ""Zoran"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Stuparević"", ""given"": ""Igor"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Tokić"", ""given"": ""Mia"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Belavić"", ""given"": ""Marko"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0001-9215-6245"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Škevin"", ""given"": ""Dubravka"", ""sequence"": ""additional""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202507.0707.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202507.0707.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Biology and Life Sciences,1968,Crossref,0.0,"<jats:p>This study investigated, for the first time, the effects of pulsed electric field (PEF) pretreatment—applied prior to malaxation at 2–7 kV/cm for 30–90 —on oil yield, quality parameters, and volatile profiles of virgin olive oils (VOO) from four representative Croatian autochthonous varieties: Istarska Bjelica and Rosulja (Istria), and Levantinka and Oblica (Dalmatia). Mild PEF conditions significantly increased oil yield (2.5–36 %), with the strongest effects observed in varieties with low baseline yields. Basic quality parameters were largely unaffected, but volatile organic compound (VOC) profiles were markedly altered. PEF increased VOCs from the lipoxygenase (LOX) pathway, particularly at lower field strengths, and altered their composition, suggesting changes in the activity of the enzymes involved in their biosynthesis. Among these enzymes, LOX was analyzed, and its activity responded to PEF treatment in a cultivar-dependent manner. Furthermore, PEF generally reduced minor VOCs associated with oxidation and microbial activity. These findings demonstrate the potential of PEF as a non-thermal, sustainable technology for improving oil extraction efficiency while simultaneously enhancing the aroma profile of VOOs.</jats:p>"
10.20944/preprints202507.0147.v2,https://doi.org/10.20944/preprints202507.0147.v2,https://www.preprints.org/manuscript/202507.0147/v2,Entanglement and Bell Inequalities from a Dynamically  Emergent Temporal Structure,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-02,2025-10-08,2025-10-09,2025-10-02,,,2025-10-01,,Bin Li,"[{""ORCID"": ""https://orcid.org/0009-0001-6956-3165"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Li"", ""given"": ""Bin"", ""sequence"": ""first""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202507.0147.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202507.0147.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Physical Sciences,1968,Crossref,0.0,"<jats:p>We present a reformulation of quantum entanglement and Bell-type correlations based on a dynamically emergent temporal structure defined by a future-directed vector field \(\Phi^\mu(x)\). This intrinsic temporal flow induces a physical foliation of spacetime, enabling a causal, local, and covariant account of quantum correlations. Within this framework, entangled states are described as topologically and causally coherent field configurations, and Bell inequality violations arise without requiring acausal nonlocality. Our results suggest a new geometric foundation for quantum nonlocality rooted in the spontaneous symmetry breaking of temporal order.</jats:p>"
10.20944/preprints202508.0941.v2,https://doi.org/10.20944/preprints202508.0941.v2,https://www.preprints.org/manuscript/202508.0941/v2,Automated Truffle Crack Detection Using Deep Learning and Machine Learning,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-03,2025-10-08,2025-10-09,2025-10-03,,,2025-10-02,,Azad Rasul,"[{""affiliation"": [], ""family"": ""Rasul"", ""given"": ""Azad"", ""sequence"": ""first""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202508.0941.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202508.0941.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Environmental and Earth Sciences,1968,Crossref,0.0,"<jats:p>Automated quality control in truffle production requires accurate detection of truffle-specific cracks to ensure product integrity. This study aimed to develop a machine learning framework to classify truffle cracks versus other cracks, addressing the need for reliable, automated inspection in industrial settings. A dataset of 300 images (150 truffle cracks, 150 other cracks) was used, with 5-fold cross-validation (192 training, 48 validation images per fold) and a test set of 60 images (30 per class). Three models were evaluated: VGG16 via transfer learning, Support Vector Machine with MobileNetV2 features, and EfficientNetV2B0 with Test-Time Augmentation. Cross-validation results showed EfficientNetV2B0 achieved the highest mean accuracy (0.929 ± 0.039) and Area Under the Curve (0.975 ± 0.026), followed by Support Vector Machine (accuracy 0.887 ± 0.031, Area Under the Curve 0.952 ± 0.025) and VGG16 (accuracy 0.867 ± 0.055, Area Under the Curve 0.942 ± 0.031). On the test set, EfficientNetV2B0 outperformed others with an accuracy of 0.933, precision of 0.933, recall of 0.933, and Area Under the Curve of 0.990. Support Vector Machine achieved a test accuracy of 0.917, with recall improving to 0.967 at an adjusted threshold of -0.3, while VGG16 recorded a test accuracy of 0.833, with recall of 0.867 at a threshold of 0.3. Confusion matrix analysis confirmed EfficientNetV2B0’s balanced performance, correctly classifying 28 of 30 truffle cracks and 28 of 30 other cracks. These models, trained on accessible computational resources, demonstrated robust performance, with EfficientNetV2B0 offering the most effective solution for automated truffle crack detection, enabling high-precision quality assurance in truffle production. Limitations include a modest dataset size, suggesting areas for future improvement.</jats:p>"
10.20944/preprints202509.0608.v1,https://doi.org/10.20944/preprints202509.0608.v1,https://www.preprints.org/manuscript/202509.0608/v1,Dynamic Analysis of Precious Metal Prices and Global Solar Energy Capacity: An ARIMA and VECM Approach,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-02,2025-10-08,2025-10-09,2025-10-02,,,2025-07-31,,Syamsul Bachri Soamole,"[{""affiliation"": [], ""family"": ""Soamole"", ""given"": ""Syamsul Bachri"", ""sequence"": ""first""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,,,,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,"Business, Economics and Management",1968,Crossref,0.0,"<jats:p>The global energy transition has created unprecedented linkages between precious metals markets and renewable energy sectors. This study examines the relationship between gold prices, silver prices, and global solar energy capacity over 2005-2024 using ARIMA and Vector Error Correction Model (VECM) methodologies. The analysis reveals statistically significant short-term relationships where silver prices (p &amp;lt; 0.01) and solar capacity (p = 0.014) influence gold price movements. The VECM identifies cointegrating relationships among variables, with solar capacity showing high explanatory power (R² = 0.97). However, the limited sample size (n=20) and potential specification issues require cautious interpretation. These findings contribute to understanding commodity-energy market integration during structural transformation periods, with implications for portfolio management and energy transition finance. The results suggest that precious metals markets have incorporated renewable energy information as fundamental pricing factors, though the economic significance and stability of these relationships warrant further investigation with larger datasets.</jats:p>"
10.20944/preprints202509.1044.v2,https://doi.org/10.20944/preprints202509.1044.v2,https://www.preprints.org/manuscript/202509.1044/v2,Adaptive Optimization of Diffuse Spot Intensities and Locations for Enhanced Performance in Indoor Visible Light Optical Wireless Communications,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-02,2025-10-08,2025-10-09,2025-10-02,,,2025-09-30,,Michael David; B. Babadoko; Suleiman Zubair; Abraham U. Usman; A. D. Morakinyo; Stephen S. Oyewobi; Topside. E. Mathonsi,"[{""ORCID"": ""https://orcid.org/0000-0003-2879-225X"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""David"", ""given"": ""Michael"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Babadoko"", ""given"": ""B."", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Zubair"", ""given"": ""Suleiman"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Usman"", ""given"": ""Abraham U."", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Morakinyo"", ""given"": ""A. D."", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Oyewobi"", ""given"": ""Stephen S."", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-0439-7186"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Mathonsi"", ""given"": ""Topside. E."", ""sequence"": ""additional""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202509.1044.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202509.1044.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Computer Science and Mathematics,1968,Crossref,0.0,"<jats:p>This study explores the application of JAYA optimization algorithms to significantly enhance the performance of indoor optical wireless communication (OWC) systems. By strategically optimizing photo-signal parameters, the system was able to improve signal distribution and reception within a confined space using circular and randomly positioned diffuse spots. The primary objective was to maximize signal-to-noise ratio (SNR) and minimize delay spread (DS), two critical factors affecting transmission quality in OWC systems. Given the challenges posed by background noise and multipath dispersion, an effective optimization strategy was essential to ensure robust signal integrity at the receiver end. Key Achievements of JAYA Optimization include: Significant Performance Gains are 29% improvement in SNR, enhancing signal clarity and reception and 23.3% reduction in delay spread, ensuring stable and efficient transmission. There was also improved System Stability, with the Standard deviation of SNR improved by up to 5%, leading to more consistent performance and the Standard deviation of delay spread improved by up to 9.9%, minimizing variations across receivers. Resilience against Environmental Challenges: Optimization proved effective even in the presence of ambient light noise and complex multipath dispersion effects, reinforcing its adaptability in real-world applications. The findings of this study confirm that JAYA optimization algorithms offer a powerful solution for overcoming noise and dispersion issues in indoor OWC systems, leading to more reliable and high-quality optical wireless communications. These results underscore the importance of algorithmic precision in enhancing system performance, paving the way for further advancements in indoor optical networking technologies.</jats:p>"
10.20944/preprints202509.1455.v2,https://doi.org/10.20944/preprints202509.1455.v2,https://www.preprints.org/manuscript/202509.1455/v2,Equality of the Singularity Critical Locus Dimension and the Newton Polyhedron Combinatorial Dimension,,,,posted-content,preprint,10.20944,MDPI AG,,,,2025-10-08,2025-10-04,2025-10-08,2025-10-09,2025-10-04,,,2025-10-03,,Grzegorz Oleksik,"[{""ORCID"": ""https://orcid.org/0000-0001-9920-3489"", ""affiliation"": [], ""authenticated-orcid"": false, ""family"": ""Oleksik"", ""given"": ""Grzegorz"", ""sequence"": ""first""}]",,,,,http://creativecommons.org/licenses/by/4.0,"[{""URL"": ""http://creativecommons.org/licenses/by/4.0"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 4]], ""date-time"": ""2025-10-04T00:00:00Z"", ""timestamp"": 1759536000000}}]",,,,,,,,,,0,0,,,,10.20944/preprints202509.1455.v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.20944/preprints202509.1455.v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Computer Science and Mathematics,1968,Crossref,0.0,"<jats:p>The purpose of this paper is to determine the local dimension of the critical locus of a generic singularity. We use combinatorial methods to calculate this dimension in terms of a convex object associated with the singularity, called the Newton polyhedron. In the article we prove that the local dimension of the critical locus of a generic singularity \( f:(\mathbb{C}^n,0)\longrightarrow (\mathbb{C},0), n\leq 4, \) is equal to the combinatorial dimension of the Newton polyhedron of the gradient mapping \( \nabla f. \) Therefore there is some symmetry between combinatorial properties of the Newton polyhedron of a generic singularity and geometric properties of its critical locus.</jats:p>"
