dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v1,,parent,Research Square,2021-07-13,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v2,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-07-21,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v3,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-07-27,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v4,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-07-30,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v5,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-08-05,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v6,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-08-17,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v7,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-08-26,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v8,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-08-29,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v9,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-09-07,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v10,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-09-13,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v11,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-09-29,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v12,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-10-07,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v13,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-10-25,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v14,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-10-28,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v15,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2021-11-03,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v16,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-02-02,Universe: the dynamics of the minimum and maximum expansion states (Time: the collateral dimension),universe the dynamics of the minimum and maximum expansion states time the collateral dimension,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v17,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-02-07,Universe: the dynamics of the minimum and maximum expansion states (Time: the collateral dimension),universe the dynamics of the minimum and maximum expansion states time the collateral dimension,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v18,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-02-13,Universe: the dynamics of the minimum and maximum expansion states (Time: the collateral dimension),universe the dynamics of the minimum and maximum expansion states time the collateral dimension,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v19,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-02-14,Universe: the dynamics of the minimum and maximum expansion states (Time: the collateral dimension),universe the dynamics of the minimum and maximum expansion states time the collateral dimension,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v20,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-03-03,Universe: the dynamics of the minimum and maximum expansion states (Time: the collateral dimension),universe the dynamics of the minimum and maximum expansion states time the collateral dimension,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v21,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-03-24,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v22,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-03-27,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v23,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-03-28,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v24,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-03-29,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v25,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-04-04,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v26,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2022-04-12,Universe: the dynamics of the minimum and maximum expansion states,universe the dynamics of the minimum and maximum expansion states,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.2139/ssrn.4434032,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (SSRN),SSRN,2023-01-01,Universe: The Dynamics Resulting from Its Maximum States of Contraction and Expansion (Cosmology from Vanishing Dimensions),universe the dynamics resulting from its maximum states of contraction and expansion cosmology from vanishing dimensions,"Petrakis, S&oacute;crates",47
crossref::10.21203/rs.3.rs-708548/v1,crossref::10.21203/rs.3.rs-708548/v27,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Research Square),Research Square,2023-02-16,Universe: the dynamics resulting from its maximum states of contraction and expansion,universe the dynamics resulting from its maximum states of contraction and expansion,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,datacite::10.5281/zenodo.7916665,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Zenodo),Zenodo,2023-05-10,Universe: the dynamics resulting from its maximum states of contraction and expansion (Cosmology from Vanishing Dimensions),universe the dynamics resulting from its maximum states of contraction and expansion cosmology from vanishing dimensions,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,datacite::10.5281/zenodo.8128028,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Zenodo),Zenodo,2023-07-09,Universe: the dynamics resulting from its maximum states of contraction and expansion (Cosmology from Vanishing Dimensions),universe the dynamics resulting from its maximum states of contraction and expansion cosmology from vanishing dimensions,"Petrakis, Sócrates Georges",47
crossref::10.21203/rs.3.rs-708548/v1,datacite::10.5281/zenodo.8242352,crossref::10.21203/rs.3.rs-708548/v1,parent - duplicate (Zenodo),Zenodo,2023-08-13,Universe: the dynamics resulting from its maximum states of contraction and expansion (Cosmology from Vanishing Dimensions),universe the dynamics resulting from its maximum states of contraction and expansion cosmology from vanishing dimensions,"Petrakis, Sócrates Georges",47
