dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/aejhy,,parent,INA-Rxiv,2019-04-28,Administrasi Kurikulum,administrasi kurikulum,"Luthfiah, Liza; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/386sm,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-04-30,ADMINISTRASI KURIKULUM,administrasi kurikulum,"nisa, khairatun; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31219/osf.io/dgyhp,crossref::10.31227/osf.io/aejhy,parent - duplicate (Open Science Framework),Open Science Framework,2019-05-20,Administrasi Kurikulum,administrasi kurikulum,"Puteri, Dini Eka; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/p4dtb,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-05-21,Administrasi Kurikulum,administrasi kurikulum,"Fitri, Yosi Elza; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/u52wn,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-05-27,ADMINISTRASI KURIKULUM,administrasi kurikulum,"Efendi, Annisa; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/w3uc6,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-05-27,Administrasi Kurikulum,administrasi kurikulum,"Putri, Novia Elmoza; Afriansyah, Hade; Hadiyanto, Hadiyanto",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/4796d,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-05-31,Administrasi Kurikulum,administrasi kurikulum,"Utari, Mutia; Afriansyah, Hade; Rusdinal",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/4yv2g,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-14,Administrasi Kurikulum,administrasi kurikulum,"Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/a49bz,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-16,Administrasi Kurikulum,administrasi kurikulum,"Puteri, Dini Eka; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/e47g6,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-16,Administrasi Kurikulum,administrasi kurikulum,"Puteri, Dini Eka; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/67ep3,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-19,Administrasi Kurikulum,administrasi kurikulum,"Tunsadiah, Latifa; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/yuar9,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-20,Administrasi Kurikulum,administrasi kurikulum,"Kurniawan, Randiju; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/hau93,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-21,ADMINISTRASI KURIKULUM,administrasi kurikulum,"Harma, Rafi; Afriansyah, Hade",56
crossref::10.31227/osf.io/aejhy,crossref::10.31227/osf.io/yqv4b,crossref::10.31227/osf.io/aejhy,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-22,Administrasi Kurikulum,administrasi kurikulum,"ammi, Marzukri; Afriansyah, Hade",56
