dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/bgqew,,parent,INA-Rxiv,2019-04-09,ADMINISTRASI PESERTA DIDIK,administrasi peserta didik,"Rahmafitri; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/szdbq,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-05-12,ADMINISTRASI PESERTA DIDIK,administrasi peserta didik,"Luthfiah, Liza; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/fpv9k,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-05-27,Administrasi Peserta Didik,administrasi peserta didik,"Fitri, Tari Triana; Afriansyah, Hade; Hadiyanto, Hadiyanto",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/dzfrg,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-18,Administrasi Peserta Didik,administrasi peserta didik,"Pratama, Yozzi Yuda; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/cd9m4,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-20,ADMINISTRASI PESERTA DIDIK,administrasi peserta didik,"Luthfiah, Liza; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/wte95,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-21,Administrasi Peserta Didik,administrasi peserta didik,"Andrizoan, Rezhi Dwi; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/m7uqj,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-21,administrasi peserta didik,administrasi peserta didik,"nurhayati; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/jnr48,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-21,Administrasi Peserta Didik,administrasi peserta didik,"Ramadhan, Muhammad Fajar; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/fw3em,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-23,Administrasi Peserta Didik,administrasi peserta didik,"Andriyanti, Ayu; Afriansyah, Hade",50
crossref::10.31227/osf.io/bgqew,crossref::10.31227/osf.io/dh6yk,crossref::10.31227/osf.io/bgqew,parent - duplicate (INA-Rxiv),INA-Rxiv,2019-06-25,Administrasi Peserta Didik,administrasi peserta didik,"maryanto, Agus; Afriansyah, Hade",50
