dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3648511,,parent,Zenodo,2020-02-06,The Riemann Hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3925268,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-01,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3925328,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-01,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960053,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-25,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960415,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-25,The Riemann Hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960566,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-26,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960571,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-26,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960603,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-26,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960713,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-26,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3960753,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-26,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3961026,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-27,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
datacite::10.5281/zenodo.3648511,datacite::10.5281/zenodo.3965037,datacite::10.5281/zenodo.3648511,parent - duplicate (Zenodo),Zenodo,2020-07-29,The Riemann hypothesis,the riemann hypothesis,"Vega, Frank",81
