server_name,year,count
AIJR Preprints,2020,5
AIJR Preprints,2021,1
AIJR Preprints,2024,1
AMRC Open Research,2019,4
AMRC Open Research,2020,3
AMRC Open Research,2021,4
APSA Preprints,2019,14
APSA Preprints,2020,32
APSA Preprints,2021,36
APSA Preprints,2022,28
APSA Preprints,2023,30
APSA Preprints,2024,30
APSA Preprints,2025,33
ARPHA Preprints,2021,3
ARPHA Preprints,2022,9
ARPHA Preprints,2023,8
ARPHA Preprints,2024,5
ARPHA Preprints,2025,2
ART-Dok,2016,29
ART-Dok,2017,54
ART-Dok,2018,6
ART-Dok,2019,2
ART-Dok,2020,1
ART-Dok,2021,3
ART-Dok,2022,2
ART-Dok,2023,3
ART-Dok,2024,3
ART-Dok,2025,6
Advance,2018,79
Advance,2019,289
Advance,2020,424
Advance,2021,361
Advance,2022,213
Advance,2023,191
Advance,2024,88
Advance,2025,26
AfricArXiv,2018,5
AfricArXiv,2019,5
AfricArXiv,2020,6
AfricArXiv,2021,5
AfricArXiv,2022,4
AfricArXiv,2023,8
AfricArXiv,2024,1
AgEcon Search,2019,6286
AgEcon Search,2020,417
AgEcon Search,2021,324
AgEcon Search,2022,273
AgEcon Search,2023,94
AgEcon Search,2024,193
AgEcon Search,2025,453
AgriRxiv,2017,19
AgriRxiv,2018,28
AgriRxiv,2019,31
AgriRxiv,2020,8
AgriRxiv,2021,1
AgriRxiv,2022,4
AgriRxiv,2023,4
AgriRxiv,2024,3
AgriRxiv,2025,6
Arabixiv,2018,80
Arabixiv,2019,11
Arabixiv,2020,2
Authorea Inc.,2018,1
Authorea Inc.,2020,586
Authorea Inc.,2021,515
Authorea Inc.,2022,595
Authorea Inc.,2023,609
Authorea Inc.,2024,609
Authorea Inc.,2025,651
Beilstein Archives,2019,1
Beilstein Archives,2020,3
Beilstein Archives,2021,1
Beilstein Archives,2022,1
Beilstein Archives,2023,1
Beilstein Archives,2025,1
Bepress Legal Repository,2011,1
BioHackrXiv,2021,1
BioHackrXiv,2025,4
BodoArXiv,2019,3
BodoArXiv,2020,3
BodoArXiv,2021,1
BodoArXiv,2024,2
BodoArXiv,2025,4
CERN document server,2015,2
CERN document server,2016,3
CERN document server,2017,1
CERN document server,2018,1
CERN document server,2019,1
CERN document server,2020,2
CERN document server,2021,2
CERN document server,2022,1
CERN document server,2023,33
CERN document server,2024,38
CERN document server,2025,305
Cambridge Open Engage,2020,40
Cambridge Open Engage,2021,45
Cambridge Open Engage,2022,67
Cambridge Open Engage,2023,64
Cambridge Open Engage,2024,91
Cambridge Open Engage,2025,130
ChemRxiv,2017,39
ChemRxiv,2018,255
ChemRxiv,2019,530
ChemRxiv,2020,902
ChemRxiv,2021,965
ChemRxiv,2022,1124
ChemRxiv,2023,1380
ChemRxiv,2024,1545
ChemRxiv,2025,1318
CoP,2025,1
CogPrints,1994,1
CogPrints,1995,1
CogPrints,1997,1
CogPrints,1998,2
CogPrints,2000,6
CogPrints,2001,2
CogPrints,2002,3
CogPrints,2003,2
CogPrints,2004,3
CogPrints,2005,2
CogPrints,2006,1
CogPrints,2007,2
CogPrints,2008,1
CogPrints,2009,8
CogPrints,2010,3
CogPrints,2011,1
CogPrints,2012,1
CogPrints,2014,1
CogPrints,2016,1
Covid-19 Preprints,2020,10
Covid-19 Preprints,2021,6
Covid-19 Preprints,2022,6
Covid-19 Preprints,2023,2
Covid-19 Preprints,2024,3
Covid-19 Preprints,2025,4
CrimRxiv,2017,2
CrimRxiv,2019,2
CrimRxiv,2020,14
CrimRxiv,2021,31
CrimRxiv,2022,30
CrimRxiv,2023,17
CrimRxiv,2024,14
CrimRxiv,2025,19
CrossAsia-Repository,2024,3
DSpace@MIT,1990,3
DSpace@MIT,1991,2
DSpace@MIT,1992,1
DSpace@MIT,1993,1
DSpace@MIT,1994,2
DSpace@MIT,1996,5
DSpace@MIT,1998,3
DSpace@MIT,1999,2
DSpace@MIT,2000,2
DSpace@MIT,2001,2
DSpace@MIT,2002,9
DSpace@MIT,2003,6
DSpace@MIT,2004,5
DSpace@MIT,2005,5
DSpace@MIT,2006,4
DSpace@MIT,2007,9
DSpace@MIT,2008,32
DSpace@MIT,2009,114
DSpace@MIT,2010,160
DSpace@MIT,2011,153
DSpace@MIT,2012,145
DSpace@MIT,2013,151
DSpace@MIT,2014,140
DSpace@MIT,2015,197
DSpace@MIT,2016,206
DSpace@MIT,2017,227
DSpace@MIT,2018,207
DSpace@MIT,2019,108
DSpace@MIT,2020,75
DSpace@MIT,2021,105
DSpace@MIT,2022,8
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1990,2
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1994,1
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1995,1
