server_name,n_records,n_unique,n_is_version_of,n_published,pct_published,collection_date,count_2024,count_2025
AIJR Preprints,9,9,9,1.0,11.11111111111111,2026-02-17,1.0,0.0
AMRC Open Research,22,11,11,0.0,0.0,2026-02-17,0.0,0.0
APSA Preprints,564,265,264,67.0,25.28301886792453,2026-02-17,30.0,33.0
ARPHA Preprints,64,41,41,14.0,34.146341463414636,2026-02-17,5.0,2.0
ART-Dok,247,112,112,3.0,2.6785714285714284,2026-02-17,3.0,6.0
Advance,3760,1800,1790,162.0,9.0,2026-02-17,88.0,26.0
AfricArXiv,89,70,70,18.0,25.71428571428571,2026-02-17,1.0,0.0
AgEcon Search,43689,27840,27837,52.0,0.1867816091954023,2026-02-17,193.0,453.0
AgriRxiv,146,131,131,14.0,10.687022900763358,2026-02-17,3.0,6.0
Arabixiv,124,113,113,40.0,35.39823008849557,2026-02-17,0.0,0.0
Authorea Inc.,9332,6296,6280,796.0,12.642947903430748,2026-02-17,609.0,651.0
Beilstein Archives,12,11,11,8.0,72.72727272727273,2026-02-17,0.0,1.0
Bepress Legal Repository,3,2,2,0.0,0.0,2026-02-17,0.0,0.0
BioHackrXiv,8,5,4,0.0,0.0,2026-02-17,0.0,4.0
BodoArXiv,27,19,18,9.0,47.368421052631575,2026-02-17,2.0,4.0
CERN document server,920,392,391,389.0,99.23469387755102,2026-02-17,38.0,305.0
Cambridge Open Engage,1664,707,705,134.0,18.95332390381895,2026-02-17,91.0,130.0
ChemRxiv,18421,8366,8357,4361.0,52.12765957446809,2026-02-17,1545.0,1318.0
CoP,2,1,1,0.0,0.0,2026-02-17,0.0,1.0
CogPrints,47,44,44,5.0,11.363636363636363,2026-02-17,0.0,0.0
Covid-19 Preprints,476,32,32,0.0,0.0,2026-02-17,3.0,4.0
CrimRxiv,390,276,275,28.0,10.144927536231885,2026-02-17,14.0,19.0
CrossAsia-Repository,22,3,3,0.0,0.0,2026-02-17,3.0,0.0
DSpace@MIT,2373,2265,2264,1728.0,76.29139072847683,2026-02-17,0.0,0.0
Digital Access to Scholarship at Harvard (DASH) (Harvard University),421,397,397,97.0,24.43324937027708,2026-02-17,0.0,2.0
E-LIS Repository,207,132,132,12.0,9.090909090909092,2026-02-17,1.0,1.0
ECSarXiv,53,39,38,6.0,15.384615384615385,2026-02-17,3.0,3.0
EGUsphere,507,425,316,246.0,57.88235294117647,2026-02-17,60.0,126.0
Earth and Space Science Open Archive,6967,3450,3433,955.0,27.681159420289852,2026-02-17,366.0,329.0
EarthArXiv,843,767,765,379.0,49.41329856584094,2026-02-17,25.0,35.0
EasyChair preprint,82,80,80,14.0,17.5,2026-02-17,0.0,0.0
EcoEvoRxiv,166,122,122,23.0,18.852459016393443,2026-02-17,14.0,18.0
EconStor Preprints,9681,8777,8775,67.0,0.7633587786259541,2026-02-17,4.0,6.0
EdArXiv,654,423,416,85.0,20.094562647754138,2026-02-17,37.0,97.0
Electron Colloquium Comput Complex,33,32,32,5.0,15.625,2026-02-17,0.0,0.0
Encyclopedia,11,6,6,0.0,0.0,2026-02-17,0.0,0.0
EnerarXiv,17,16,16,3.0,18.75,2026-02-17,0.0,0.0
F1000Research,10482,4651,4650,155.0,3.3326166415824554,2026-02-17,522.0,257.0
FocUS Archive,40,37,37,1.0,2.7027027027027026,2026-02-17,0.0,0.0
Frenxiv,91,83,83,34.0,40.963855421686745,2026-02-17,0.0,0.0
Gates Open Research,626,305,305,6.0,1.9672131147540985,2026-02-17,23.0,1.0
HAL,51834,30626,30615,2613.0,8.531966303141122,2026-02-17,241.0,528.0
HRB Open Research,670,312,312,4.0,1.282051282051282,2026-02-17,35.0,24.0
Humanities Commons CORE,24328,11693,11678,7987.0,68.30582399726332,2026-02-17,1288.0,1728.0
IACR Cryptology ePrint Archive,564,417,376,86.0,20.623501199040767,2026-02-17,0.0,0.0
INA-Rxiv,6826,4313,4313,460.0,10.665430095061442,2026-02-17,0.0,0.0
IndiaRxiv,46,43,43,9.0,20.930232558139537,2026-02-17,0.0,0.0
JMIR Preprints,3236,2172,2172,1557.0,71.68508287292818,2026-02-17,120.0,94.0
Keldysh Institute Preprints,140,71,71,6.0,8.450704225352112,2026-02-17,4.0,0.0
LIS Scholarship Archive,196,152,152,36.0,23.684210526315788,2026-02-17,2.0,5.0
LSE Research Online Documents on Economics,33,33,33,1.0,3.0303030303030303,2026-02-17,0.0,0.0
LatArXiv,13,11,11,4.0,36.36363636363637,2026-02-17,2.0,1.0
Law Archive,1175,966,966,59.0,6.107660455486543,2026-02-17,3.0,8.0
MNI Open Research,12,6,6,0.0,0.0,2026-02-17,0.0,0.0
MarXiv,178,159,159,89.0,55.9748427672956,2026-02-17,0.0,1.0
MediArXiv,51,40,38,18.0,45.0,2026-02-17,5.0,5.0
MetaArXiv,342,232,224,49.0,21.120689655172413,2026-02-17,28.0,33.0
MindRxiv,140,96,95,36.0,37.5,2026-02-17,1.0,0.0
Munich Personal RePEc Archive,4055,3932,3931,107.0,2.721261444557477,2026-02-17,1.0,2.0
National Bureau of Economic Research,717,688,688,0.0,0.0,2026-02-17,0.0,0.0
Nature Precedings,3821,1810,1809,29.0,1.6022099447513811,2026-02-17,0.0,0.0
NewAddictionsX,5,2,2,0.0,0.0,2026-02-17,2.0,0.0
NutriXiv,31,23,23,11.0,47.82608695652174,2026-02-17,0.0,0.0
Open Research Africa,188,90,90,4.0,4.444444444444445,2026-02-17,3.0,4.0
Open Research Europe,1319,630,629,36.0,5.714285714285714,2026-02-17,150.0,99.0
Open Science Framework,36578,23161,22875,4903.0,21.169206856353355,2026-02-17,1198.0,1301.0
Organic Eprints,494,264,264,0.0,0.0,2026-02-17,0.0,0.0
Oroboros Instruments,43,17,17,0.0,0.0,2026-02-17,3.0,2.0
PREPRINTS.RU,121,76,75,16.0,21.052631578947366,2026-02-17,6.0,19.0
PaleorXiv,137,101,101,66.0,65.34653465346535,2026-02-17,5.0,4.0
PeerJ Preprints,2250,996,996,37.0,3.7148594377510036,2026-02-17,0.0,0.0
PhilSci-Archive,262,243,243,45.0,18.51851851851852,2026-02-17,1.0,1.0
Preprints.org,20423,10863,10830,5386.0,49.58114701279573,2026-02-17,1790.0,1699.0
Prepublicaciones OpenCiencia,2,1,1,0.0,0.0,2026-02-17,0.0,0.0
PropylaeumDok,155,64,64,0.0,0.0,2026-02-17,2.0,1.0
PsyArXiv,17072,9610,9074,1860.0,19.35483870967742,2026-02-17,2051.0,2224.0
Qeios,8906,3892,3873,99.0,2.5436793422404933,2026-02-17,1379.0,208.0
RePEc: Research Papers in Economics,75607,68715,68707,3344.0,4.866477479444081,2026-02-17,8.0,18.0
Research Square,96801,51229,51153,25073.0,48.94298151437662,2026-02-17,1997.0,951.0
ResearchGate,25283,20452,20361,3487.0,17.049677293174263,2026-02-17,1804.0,1781.0
ResearchHub,391,163,163,34.0,20.858895705521473,2026-02-17,19.0,91.0
SAE Mobilus®,5,4,4,2.0,50.0,2026-02-17,0.0,0.0
